Genome name	Species	Common name	Sequencing depth	Assembly (total length)	Scaffolds	Scaffold N50	Scaffold L50	Contigs	Contig N50	Contig L50	Sex	Date	
F_peregrinus_v1.0	Falco peregrinus	Peregrine falcon	137.6X	"1,171,973,431"	"7,021"	"3,935,757"	90	"83,081"	"28,645"	"12,168"	M	5/02/2013	
ASM69083v1	Fulmarus glacialis	Northern fulmar	33X	"1,141,395,646"	"57,389"	"47,208"	"7,016"	"112,214"	"25,926"	"13,102"	M	13/05/2014	
Gallus_gallus-5.0	Gallus gallus	Chicken	70X	"1,230,258,557"	"23,870"	"6,379,610"	47	"24,693"	"2,894,815"	110	F	16/12/2015	
ASM69087v1	Gavia stellata	Red-throated loon	33X	"1,129,694,867"	"61,831"	"45,523"	"7,096"	"126,713"	"24,321"	"13,686"	M	13/05/2014	
ggan_v0.2	Gavialis gangeticus	Indian gharial	81X	"2,188,353,730"	"47,351"	"100,817"	"6,437"	"297,686"	"14,195"	"44,972"	F	14/11/2014	
GeoFor_1.0	Geospiza fortis	Medium ground finch	115X	"1,065,292,181"	"27,239"	"5,255,844"	54	"95,828"	"30,521"	"9,807"	F	25/07/2012	
ASM69140v1	Haliaeetus albicilla	White-tailed eagle	26X	"1,133,549,865"	"50,905"	"57,319"	"5,758"	"111,484"	"25,143"	"13,446"	M	15/05/2014	
Haliaeetus_leucocephalus-4.0	Haliaeetus leucocephalus	Bald eagle	103X	"1,178,409,481"	"1,023"	"9,145,499"	40	"31,786"	"105,493"	"3,144"	M	4/08/2014	
ASM69178v1	Leptosomus discolor	Cuckoo-roller	32X	"1,136,244,952"	"57,160"	"62,640"	"5,157"	"113,170"	"24,735"	"13,631"	M	23/05/2014	
ASM69201v2	Manacus vitellinus	Golden-collared manakin	110X	"1,145,854,002"	"92,755"	"2,558,866"	124	"138,155"	"43,697"	"6,945"	F	1/08/2014	
Turkey_5.0	Meleagris gallopavo	Turkey	35X	"1,128,339,136"	"233,806"	"3,801,642"	82	"296,331"	"26,671"	"11,556"	F	24/11/2014	
Melopsittacus_undulatus_6.3	Melopsittacus undulatus	Budgerigar	"""16x 454; 7x Illumina"""	"1,117,373,619"	"25,212"	"10,614,383"	28	"70,863"	"55,633"	"5,478"	M	2/01/2012	
ASM69184v1	Merops nubicus	Carmine bee-eater	37X	"1,062,961,556"	"53,499"	"48,089"	"6,132"	"104,131"	"24,675"	"12,573"	F	16/05/2014	
ASM69576v1	Mesitornis unicolor	Brown mesite	29X	"1,087,290,853"	"67,520"	"47,102"	"6,540"	"119,122"	"22,740"	"14,204"	F	2/06/2014	
ASM69687v1	Nestor notabilis	Kea	32X	"1,053,559,886"	"42,180"	"61,475"	"4,935"	"93,561"	"26,546"	"11,852"	M	5/06/2014	
ASM70822v1	Nipponia nippon	Crested ibis	105X	"1,223,863,029"	"59,555"	"5,211,696"	66	"130,030"	"29,116"	"12,209"	M	16/06/2014	
ASM69207v1	Ophisthocomus hoazin	Hoatzin	100X	"1,203,712,246"	"10,256"	"2,937,227"	122	"109,627"	"28,179"	"11,760"	F	19/05/2014	
Parus_major1.0.3	Parus major	Great tit	95X	"1,020,309,133"	"1,676"	"71,365,269"	5	"24,044"	"148,693"	"1,868"	M	2/02/2016	
ASM68737v1	Pelecanus crispus	Dalmatian pelican	34X	"1,160,924,693"	"63,982"	"43,364"	"7,852"	"121,562"	"21,679"	"16,160"	M	9/05/2014	
ASM68728v1	Phaethon lepturus	White-tailed tropicbird	39X	"1,152,958,507"	"66,785"	"47,896"	"6,817"	"132,071"	"22,941"	"14,707"	F	8/05/2014	
ASM70892v1	Phalacrocorax carbo	Great cormorant	24X	"1,138,967,842"	"64,312"	"48,427"	"6,715"	"162,787"	"17,343"	"19,360"	M	17/06/2014	
ASM68726v1	Phoenicopterus ruber	American flamingo	33X	"1,132,184,511"	"76,189"	"38,071"	"8,592"	"137,480"	"20,262"	"16,707"	M	8/05/2014	
ASM69900v1	Picoides pubescens	Downy woodpecker	105X	"1,167,323,935"	"31,254"	"2,093,929"	168	"127,725"	"24,809"	"12,353"	F	6/06/2014	
ASM69954v1	Podiceps cristatus	Great-crested grebe	30X	"1,134,922,578"	"82,923"	"30,087"	"11,042"	"152,268"	"17,412"	"19,471"	M	11/06/2014	
PseHum1.0	Pseudopodoces humilis	Tibetan ground-tit	96.25X	"1,042,997,632"	"5,406"	"16,337,386"	16	"27,052"	"165,265"	"1,794"		11/01/2013	
ASM69924v1	Pterocles gutturalis	Yellow-thoated sandgrouse	25X	"1,069,324,295"	"58,607"	"49,530"	"6,164"	"107,160"	"26,448"	"12,048"	M	9/06/2014	
ASM69910v1	Pygoscelis adeliae	Adelie penguin	60X	"1,216,617,519"	"19,265"	"5,118,896"	72	"114,374"	"22,195"	"15,872"	M	6/06/2014	
SCA1	Serinus canaria	Common canary		"1,152,100,110"	"304,400"	"17,815,079"	13	"358,420"	"53,884"	"5,339"	?	115/01/2014	
ASM69896v1	Struthio camelus	Common ostrich	85X	"1,225,041,896"	"6,915"	"3,593,425"	101	"79,564"	"34,997"	"10,064"	F	6/06/2014	
Sturnus_vulgaris-1.0	Sturnus vulgaris	Common starling	74X	"1,036,775,994"	"2,361"	"3,416,708"	89	"22,666"	"151,865"	"1,828"		20/11/2015	
Taeniopygia_guttata-3.2.4	Taeniopygia guttata	Zebra finch	5.5X	"1,232,135,591"	"37,422"	"8,236,790"	37	"124,806"	"38,639"	"8,016"	M	8/02/2013	
ASM70936v1	Tauraco erythrolophus	Red-crested turaco	30X	"1,155,540,733"	"59,587"	"56,334"	"5,784"	"134,672"	"22,885"	"14,965"	M	25/06/2014	
ASM70537v2	Tinamus guttatus	White-throated tinamou	100X	"1,047,056,493"	"82,514"	"246,268"	"1,147"	"142,367"	"29,773"	"9,877"	F	5/08/2015	
ASM68720v1	Tyto alba	Barn owl	27X	"1,120,143,088"	"62,122"	"52,818"	"5,943"	"171,345"	"17,226"	"18,680"	F	8/05/2015	
Zonotrichia_albicollis-1.0.1	Zonotrichia albicollis	White-throated sparrow	63X	"1,052,600,561"	"6,018"	"4,866,725"	52	"37,661"	"112,748"	"2,385"	M	30/04/2013	
ASM128173v1	Zosterops lateralis melanops	Silver-eye	64X	"1,036,003,386"				"62,852"	"34,514"	"8,267"		14/09/2015	
